conversion_id,user_id,conversion_date,conversion_channel,previous_experiment_group,trial_started
3edd63a1-eb6f-4591-82c6-94838540b7ba,7d3a3c67-25ac-4b7d-8aba-01a0297f5ce7,2025-06-14 23:26:49,in-app,control,0
c8abceca-29e6-4553-ad6d-07d8239ce1aa,4d535cfc-c23b-41b6-b547-ffce503a83b5,2025-06-26 07:33:55,web,treatment,1
ceddb6e3-2e04-4588-bd74-dfa7a553a300,b07f06e9-8fd2-41b9-83a9-e64fe2435a5b,2025-09-12 10:07:42,in-app,treatment,1
d9074551-73d6-4f53-90a0-81cc9677d85d,c58c46a5-4775-47fe-9f85-d1bd3935681d,2025-09-28 09:34:05,in-app,control,0
197a0145-1352-4b0a-b021-2712c057a6a9,4791cb1b-0b63-415f-9cd7-064853bf4e80,2025-09-16 03:53:55,email,control,0
27f8bb28-598c-425f-87a6-5fe3e30e4816,4846031c-243c-4da4-8217-95ab6597cf59,2025-09-29 21:47:14,in-app,treatment,1
ff367faa-2a7b-40ab-a80f-7bb3ffadc6fc,81fc4038-7eb2-4c77-a29d-880b1e227149,2025-06-15 05:29:18,email,control,0
1facaec6-ad75-4005-ad82-a90dc1847530,1df8b084-22b5-4426-b813-5a5bb274430f,2025-09-19 04:16:57,email,control,1
7d745ca9-be72-4f05-81b1-32d65e4b1398,81257dd1-8732-4ca6-99e5-b59b024ca7f3,2025-08-16 05:36:23,email,treatment,1
5938a7e3-41e4-4f02-87a5-88d1926cc2b7,b77997c9-0530-4da4-a884-920c711789ee,2025-07-31 10:52:43,in-app,control,0
12ab58eb-4328-4995-a018-09659d48ba22,fc069def-cfa3-47d1-b065-720063881d9b,2025-09-09 20:08:28,in-app,control,0
ccf5d75a-6e0f-4740-acbc-35fe016b8913,b1259323-4001-417b-ba5a-6e9dcbbc1a93,2025-06-15 15:08:56,email,treatment,0
f83bf01e-9c8e-4140-803d-37d7b71e8b74,8f3ab017-c4e0-45ab-bd00-bcbd6467c4a3,2025-07-07 05:37:21,email,control,0
85dbc7a3-c82f-4ace-940f-7185e5d9b84b,fd747016-3b57-492d-aeee-3d458af95c2a,2025-06-01 09:42:18,in-app,treatment,0
141e0507-a0b9-407e-b5a5-636829619a39,348cb2f0-6bc8-4e70-aed5-f1a618ab1d93,2025-06-12 06:29:24,in-app,control,0
eb780f02-239c-4909-a259-0fe754b3e1b6,b420822e-0ea3-4bf2-9bdb-1cf6f7f2e306,2025-06-01 01:50:45,in-app,control,0
c223d1b1-04db-4b76-9573-7f4e7a183dfe,828df9c3-92a3-4dd1-89ae-c3c3118e6bee,2025-07-08 13:48:04,in-app,treatment,0
642a1153-37cc-445d-9cde-782c459cd44e,790d33ef-c6d3-4134-8914-bf1272058c7e,2025-07-12 23:10:07,in-app,control,0
cf6ecc52-54eb-4722-b518-fe3d1018e29f,713bc489-e6a5-4bf7-9d00-169d4d43b870,2025-09-14 23:05:32,in-app,treatment,0
9b8fd1d7-671d-495f-ac43-ff63164816aa,2af6bbe3-df14-4271-9bb6-47d9080f5898,2025-09-19 11:47:46,in-app,control,1
d6e27d5a-ffc7-4de7-ad61-c780afdce9ef,038f5f33-3958-4328-a074-2b194e660d0f,2025-07-14 22:29:52,email,control,1
e5072de1-7de3-42a6-b509-c370d5c0cbf1,5ff2a498-2b8f-4c5f-8b40-2e606b43c265,2025-06-29 04:20:52,in-app,control,0
1d8a84b0-988c-4812-990d-d4a892f26658,32e1e0e0-544a-4abe-82e1-07f2c979dabd,2025-06-08 15:49:14,in-app,control,0
5df8ab85-1ad1-4b57-82e0-ecaec35f755d,e0b80dd6-4a39-4a27-a3da-9b10bfd26739,2025-08-18 14:49:33,in-app,treatment,0
631cedf2-bb68-4d65-b3dd-f29294496e27,734a7b19-1e9f-4b09-8d0a-a060e0dcee9e,2025-06-09 19:48:15,in-app,control,0
8b0e4205-2807-423a-983b-2bfa5758f25d,7fcbd42f-41dc-45c9-8b42-a8ee33b5e488,2025-09-11 19:27:30,in-app,control,0
0f5290fa-6277-4008-b2dc-3007ae637fb4,635bf37b-7652-4b6a-8e7c-4b47bb2d8d0d,2025-09-01 07:36:22,in-app,treatment,0
130a299c-7cdd-4d62-9f66-5b769359b2a9,c85f1e19-0355-40f7-b1bc-c24d3d0c5b78,2025-08-04 16:51:10,in-app,control,0
e5c855c0-a97d-4d48-9530-43539a860b06,1c59fc74-504e-49bf-8c48-965b5d8ab477,2025-07-04 19:34:42,in-app,control,0
3ff270f3-00e1-4f88-b7a2-051466aba2c7,92990eab-de40-44f5-bdf4-f72cf7bcad53,2025-07-13 14:54:43,email,control,0
6a8c13ce-d28c-4191-a89a-82c96afc9d22,27d9e073-f9fc-4e2e-a2fa-e73180495270,2025-07-15 00:50:49,in-app,control,0
08e3a556-6021-4371-b292-926aa323f39c,2e16d922-7d9b-4b68-b025-303bd197134f,2025-06-23 15:17:44,web,control,0
7fd1353c-221f-43c8-8232-6b102cfc9cdb,0265e749-ecc8-4208-ba7e-2fa627f398fd,2025-07-30 12:12:12,in-app,control,0
b74bf233-7482-4bcb-972a-16f5afc8a3c1,993763f2-b484-4883-bcf2-3a0b770c9309,2025-06-09 10:56:39,email,treatment,0
18194d44-f72b-4702-8ee4-9678492f4cbc,6ee7f0a8-0c69-4da9-93f2-2d3839183d99,2025-09-08 12:56:45,web,control,0
60e066d8-5c5e-400e-a19c-0e87a7fe9604,e5917293-547e-499b-8a01-056780f0ac63,2025-06-26 20:48:19,email,treatment,0
2c099cfa-9036-4132-a2e5-dbcb10a70d41,c8a38aab-2798-46df-a6cd-8204886efe3b,2025-09-20 21:09:16,email,control,0
87c044d2-7b1a-436d-8579-0174daaeb92b,3e591c11-ca05-4d6f-af53-5710b2ae0ce4,2025-06-11 12:16:56,email,control,0
1691df27-3f84-4834-be9d-a7ea06709cbe,aec5b3ef-93e1-4fcd-b7f5-e87ce8778e83,2025-06-15 21:38:13,in-app,control,0
cc2a7367-7ae2-464f-8e4d-026e4231246b,d9da07cf-1660-4859-9ec5-fec4a0f23d13,2025-09-20 19:35:03,in-app,treatment,1
1a4afb68-333a-404d-99ce-4534b4f37d89,c68f052f-ebc2-4066-8f5c-2268a0d51d4d,2025-09-07 11:39:56,email,treatment,0
1556ecfd-4cdc-4fe7-8c95-a955b32ad912,65656da1-ef19-4e60-aa30-b154bb5a79c7,2025-06-22 19:39:06,in-app,control,1
72f31da6-1d22-4369-b61c-eb5482956689,3b65ba60-96da-4ab2-8594-af0ec46b290b,2025-07-25 17:25:44,email,control,0
f9848964-dd7d-46fa-b29e-93645da00d1b,3cc56d25-a2e3-4a82-8cd1-e7d458b53dd0,2025-08-18 09:28:53,in-app,treatment,0
35752503-a0bf-4c8a-980f-27fa114573fd,3b238024-d2da-4177-98a4-24f8bf7261c2,2025-08-15 02:20:12,in-app,control,0
c9ceabe3-bd80-48a0-aed1-404195dbb1e1,2e7ef617-7b0d-469b-a2a0-1c1cfa8d71e3,2025-08-03 00:46:53,in-app,control,0
262df64e-58c7-4169-ace6-439a66bec60e,940a45c0-72c7-4d28-b3f3-3a702d4a2ae3,2025-07-27 22:31:13,in-app,treatment,0
6444c87a-ac67-44aa-93a6-a6562ccc1332,7f0570a5-6ecd-4fe0-8bb4-e9520460c8b1,2025-09-10 12:48:23,email,control,0
2238b084-45a2-40a1-a55b-fdc3646b59ed,359e9c1a-42ef-466a-91da-3db2ecc63d05,2025-06-17 19:28:07,email,treatment,0
67b945c5-e455-4ec4-99ba-5707c45e3b62,fdb24d73-96a3-435c-90dc-3f4b1c6bb1d1,2025-09-23 11:53:17,in-app,treatment,0
0e98eb8a-e765-4a0a-a2e3-5402786612c9,f41cd0ff-8008-4d7d-9383-5870ba13dfe5,2025-09-03 10:37:01,in-app,control,0
73ac1114-f1b2-4cbe-a27b-41dc31843817,870aebb4-ed16-45ec-ac16-0ec7a595fcfc,2025-08-11 21:35:19,in-app,control,1
00abced0-37fb-4128-beed-fe956cd3767d,2cfeebbc-5e7c-4916-83a4-7d9d45f252a6,2025-09-21 01:12:39,web,control,0
f21a903a-11a9-45f3-a028-7d6c70cceb89,c687e097-2463-4253-8785-8de9aa250430,2025-09-27 21:13:56,in-app,treatment,0
9e1c4100-4c3d-42a3-82cb-b9331d3bcc09,7335c910-17c3-4ab4-a902-5455dbb065c7,2025-07-13 11:09:11,in-app,treatment,0
d7eb3a3e-428f-4720-987f-e4d5079fa639,97fb332a-894f-4014-9d91-ed2022e40fc7,2025-09-10 02:14:48,in-app,control,1
0b5aca68-1a2d-49a3-a0b2-85e2ed630b85,3c69ad5d-0a1f-4c6d-9215-3c4accc3e72f,2025-08-02 14:43:37,web,treatment,1
4b4ba9b2-4f23-4db9-b1d8-1fd264e92763,9a0e58ec-ea93-4ba1-bf1d-2dd5cc6614fd,2025-06-20 13:52:47,in-app,treatment,0
46c7bef9-beef-40a0-9f2f-4ebd28bfc6d2,a56d5715-931f-488d-bc1d-8ac838fccabf,2025-08-22 09:58:54,in-app,control,0
d81d3d44-ee70-4dcd-a58c-12f7aac14cce,22f005c0-b02d-4110-83c3-014b7b8eb94c,2025-07-05 01:39:51,web,control,0
b8849e0e-cc64-4224-a75f-df415c491354,38ecf515-031a-4032-b20f-d3f7801d3055,2025-09-09 01:45:18,in-app,control,0
530f484b-cbae-4fe0-8434-c9b0b838811b,d9814a77-b02c-4be3-a028-77593d263845,2025-08-13 22:39:17,web,treatment,1
5f44c166-d2cf-41ee-af52-23330e7fdbb1,273b76b3-26ea-4440-8a26-028fd293ba89,2025-06-23 02:40:34,in-app,treatment,0
c5abf3e8-e62d-4b24-887d-3725a5c4a692,df7f2321-7beb-49d4-840d-be3de4314fbe,2025-08-04 00:50:22,email,control,1
2ecbb33f-b933-4788-b008-7cc112cb71a0,314412c1-1064-4b8d-9351-f0a11bab01df,2025-06-21 13:16:36,web,treatment,1
aeba16be-db67-4511-8770-982f58c0fdd0,40e837f3-69b6-43a9-95f6-cd0dd25320cf,2025-06-18 09:17:37,in-app,control,0
1a7085df-66e8-47d9-96f0-32349e7fe793,96714fc1-06ad-4c34-af80-156bfaecb4dc,2025-06-28 12:26:20,in-app,treatment,1
e53c3544-3eeb-447f-802e-8dc91a4d20ab,c9b00438-502a-4e14-9139-75e56e5d4664,2025-07-03 02:24:42,email,treatment,0
7dd28bae-6364-4f88-8304-9511d977b44f,97848dc1-0590-453a-a9a8-88c1cf16d7b2,2025-08-07 22:28:17,web,treatment,0
de73ddd8-f355-4481-83d9-ca237040a0be,d1cffa46-aebc-454a-9b71-46dfee91e1a9,2025-06-20 17:45:46,in-app,control,1
ca1b8d08-6df3-4704-b690-7b9db8d09591,0c50c8c8-dcb0-4586-89cd-201381c31f81,2025-06-08 00:21:58,in-app,treatment,0
05f7a19f-eb17-4a8b-976d-2b51da8e6db2,cce44edc-251c-4fb3-a4bf-3d2583f80d27,2025-08-03 18:18:57,in-app,control,0
7b41bb65-5fcc-486a-96cd-9a3d1f0dbb2a,04b0a3e7-b974-46ea-8d40-6eca77ec01d3,2025-08-12 18:11:25,in-app,treatment,1
105d7b18-cc76-4303-8350-8dd101a504c5,f7b0ce95-db73-477e-b694-298ccbd3ae96,2025-09-15 08:38:59,in-app,treatment,0
61d17940-d25b-4c59-ab74-e42c2df67cc1,62121e10-74b8-486f-a4e0-6ca714e262bb,2025-08-04 10:28:01,email,control,0
a25c3b47-4123-4e43-a8df-60c0d80451fa,64d39c51-ff32-4b40-8435-822ac4ec2eaa,2025-09-08 00:40:26,in-app,control,1
60e5b283-c10d-49f5-9e32-0b4a69bee899,e9aa5d4f-f53c-426d-b0a9-ab4c04856d54,2025-09-03 20:24:02,in-app,control,0
54cdff1d-1d3b-4b5a-8eba-116c861a1e4d,8b05a286-659d-4b4b-9779-d0c9eb3eaf03,2025-09-15 03:07:40,in-app,control,1
9363462b-c714-433a-b1ad-8e2b363a4c28,c51a4052-6a34-400b-976e-953e35d81982,2025-07-17 08:31:24,email,control,0
d92bbce2-da0d-43ba-b358-28168a1810f8,d727478d-70b6-472f-a94d-bfbd3b3dff96,2025-07-14 11:41:20,in-app,treatment,0
3457d904-7de2-4c45-9130-989b2e8f6a98,917d8a63-b1e2-4ac9-a8a0-7918221959ac,2025-08-09 15:51:21,in-app,control,0
fccc761d-7275-49c0-9219-539d06df943e,ba513cd3-ca3b-408e-89ce-4a30cf723bac,2025-07-02 03:26:08,email,control,0
d3c66293-4745-42c1-95c6-6890fcbc912d,efefeb3d-5ac5-4cbe-a183-faed961bdd2b,2025-09-11 00:08:44,web,treatment,0
2c4084e2-fee1-4262-a20e-58f15f20ce03,28ee92b0-2067-490a-98cd-4a665ed76a02,2025-06-02 07:32:27,in-app,control,0
825f0691-cfab-4ba2-89f1-38621f1b7d1e,f127a0a1-d13c-4628-97b0-dca6ded94894,2025-07-23 01:43:57,email,treatment,1
e415095a-5c57-4764-9c12-b8039dae7ff3,ad193ac4-1433-4b6f-9e47-6b2ae6c9a393,2025-08-12 22:17:54,email,treatment,0
428bd87b-d904-4e1a-a729-2b1167b33f37,f9475c1d-8315-4920-b95c-eb91fc63783f,2025-08-11 06:35:19,in-app,control,0
43e4f50a-ef90-446e-aa60-c14f7329e557,ea4a35c9-b206-4245-bb01-6a8c733b8c1e,2025-08-29 09:31:14,in-app,control,0
0263601a-5d7c-439e-bb63-e95f3e50553d,12daa155-cd20-4c12-9857-d1763019087a,2025-08-09 10:45:44,in-app,control,0
50646e74-fc36-485a-bb7a-52f411ed099e,ddd79ec5-6a53-48a3-bd7b-c66c6cbed08a,2025-06-30 17:06:59,in-app,treatment,0
0854b4bd-0b27-43e0-8aea-00e9ad416b82,2d36826f-b16a-423b-9c39-7e54875f427e,2025-06-23 06:35:02,in-app,treatment,1
d0b9763a-00e9-40e5-88c4-abe7f8913958,fa24d7d0-b835-4b90-9258-86276d7ab88a,2025-09-27 19:17:57,in-app,treatment,0
3c8cc1e9-621b-497c-9087-1b7ff768e0f1,d9ad48b9-67df-41d2-8bd3-f378c20d311b,2025-09-29 17:06:18,in-app,control,0
d1f8784b-b5c1-4fb0-b968-86534430b9bc,0fccac21-dae4-4e11-a97c-234b6fc612a5,2025-08-31 10:59:49,email,control,0
c719126d-0c16-40e1-9f82-66a699ce9a79,178a6f0d-97ec-43db-a880-96dc00e72b33,2025-07-11 20:32:07,web,treatment,1
5ce88701-b59c-42ce-abed-a92bd72af1b5,3546abf4-1af6-4f83-9805-cb1315663c9b,2025-09-12 20:21:16,in-app,treatment,0
1d412ec3-ccd3-4b6f-9776-6a33d69d7e24,00dbd1ec-1e27-4ad4-ade9-d5b5723bdbf9,2025-07-22 23:36:55,email,treatment,0
9baf3242-0df5-4fd7-af08-689b4cc704dd,ffdb846d-b5af-4572-9219-1e6b4ad582c2,2025-06-24 16:49:49,in-app,treatment,0
da909523-ba56-4eb2-8dd4-bd2e97a07fce,c6d2369f-543e-4d51-a733-cb70deac31be,2025-07-18 17:42:35,web,control,0
1d839a28-2245-4a4b-bcb6-eee748e98113,8eb7f2c2-e20a-46ca-b9f8-767a61d6f169,2025-06-24 12:42:42,web,control,1
6f88f2e6-6076-490f-9323-7ecf81ac652b,f24a0b5a-b9ff-4b1b-86fd-ae31e3506c9b,2025-09-21 15:13:45,in-app,treatment,0
96b644c0-43ef-4665-8e02-14c069589d34,66ed01e0-1db0-43b7-a6e2-a4b6685b65e6,2025-08-25 05:49:07,in-app,control,1
d6d150f5-9d64-48b5-abb4-4c9f95264ac3,807b23ea-0b3c-4812-ab5d-0ca5211aabf1,2025-08-12 17:19:06,in-app,control,0
f2579750-cdd5-4556-a3b1-bca2e2f619d2,2e76ce55-63f1-4a30-8897-ea0dd2d66ec1,2025-07-02 17:28:03,in-app,treatment,0
54035c53-ae1c-43b3-b752-94b8a91e6dfc,24a05253-fec3-46bb-84f4-b35e13bdc638,2025-09-28 22:28:52,in-app,control,0
cc6a0c6b-9a91-44a6-921b-600685f727f7,98babaaa-32b3-40be-a835-5b8d3602445e,2025-06-11 14:27:06,in-app,treatment,0
fe6c4082-04fc-462a-ae0d-476b88e136bf,234c8cb4-852e-43cd-9bc4-46327d4ffbea,2025-08-24 01:26:47,in-app,control,0
69624a6c-aa39-4e4c-be21-76cbeb791334,da1b5119-e608-4f99-8804-b68b8d4ae6d3,2025-08-31 05:04:05,web,treatment,1
9a9fbc66-90ef-4a03-8ee9-83705873feb8,abf94943-79c5-4aa2-8703-7d775c2ecc58,2025-09-15 04:49:28,in-app,control,1
3aba742b-6a7b-4db2-9365-0e64746aff80,6c097bd8-4bb6-4fb7-a1c6-f30f3efbdf71,2025-09-05 10:54:57,in-app,control,1
d4be2acb-50de-4704-92b1-1208b66c9e30,ae230185-954c-469c-a6c0-6bd66dac7ba5,2025-06-05 18:05:26,web,control,0
510620bb-6678-4ba4-ab5f-d5451f4065ae,e38986f9-cf20-4be6-b28f-7bf67666603b,2025-06-22 18:39:44,in-app,treatment,1
1e2abb11-797a-4b2a-93bb-8615e1495fb1,dfa9ae61-9280-4af2-b44f-60e79381ea7c,2025-09-10 12:38:05,in-app,control,1
2b05cc47-1cc2-4f88-a540-048c0ba242b6,14fcebfc-1c4b-4171-abd0-c519bbb9dac7,2025-06-18 11:16:54,email,treatment,0
6fe6a7ab-8fac-4b20-aff0-5d371fbe8efc,0df878e9-40e7-4d6b-8c89-fc0b52c11f67,2025-09-04 03:56:31,web,treatment,0
eeca4b85-4ccb-4cde-8105-b97be8feff46,d56ef97e-1ade-4d58-a13a-283befde8d95,2025-09-12 00:50:56,in-app,control,0
e142ea1d-1eb7-484c-a9df-6e75653a4711,b48c9ec0-8673-40c3-a42d-15bee3751411,2025-09-13 09:06:00,in-app,treatment,1
5686532a-dbb3-48e9-9e45-07c8086f1ea4,c5757331-a9f8-4a88-a3dc-7fbed05ea935,2025-09-22 21:33:13,in-app,control,0
e0f9404e-f44a-4001-a52e-d606ca0ecf1b,8f43bcf8-6b46-4040-b34b-950a3627f9c4,2025-08-12 02:30:59,in-app,treatment,1
f658b2ce-f0ab-4139-a50c-3584e6863d0b,39d0824a-2a2b-4560-9d83-d2c67ecd785a,2025-07-09 16:10:11,in-app,treatment,0
f4d7c4df-1ca6-4a7f-acba-0f42e3282184,16087797-b98a-44f8-8631-0f302df47951,2025-06-08 15:40:27,in-app,treatment,0
aa9ace57-fb08-41e9-a028-9352a5560ed4,ec1a7818-3997-447f-a1e0-9105e254b20a,2025-06-04 06:28:59,email,treatment,0
e5ae278d-6461-4f12-92c1-08b93829f98a,256befbc-8439-4b4d-9387-c287e0f5f3e2,2025-09-11 16:14:52,in-app,treatment,0
c2a96a62-71f1-4052-ac47-5e7d31c9cbee,be53d68b-b7b1-4b31-98c0-f6c5509f6caf,2025-06-15 15:27:52,web,treatment,0
daa6e863-bcb3-43c2-a6b4-f0ad7c3e3216,3a5e2d4b-564d-4a15-83fe-a9e273228575,2025-07-29 20:04:59,in-app,treatment,1
13e1d18d-647a-4c7a-a593-c3aa39ff11d6,c4f06b03-2199-4ad2-b6e9-312a75a09846,2025-08-18 10:44:51,web,control,0
eb8ca097-ca13-4621-a3de-71b4323c9bf5,99aef43f-1a62-4cbb-89ad-c723d7b9d70a,2025-07-11 02:07:24,in-app,treatment,1
125c895e-4b8d-4ec0-a362-6458d8574008,d4da8cd5-86ea-4062-b512-9b5bd636818c,2025-08-17 12:05:15,in-app,treatment,0
3d2a0d5b-81cb-4856-9e72-0305ebdabc3e,b2cff065-55ef-4691-b960-9f923453f9d1,2025-08-12 17:13:01,in-app,treatment,0
28158ced-4f20-45f4-99ea-66f01927b446,63b712d8-ba11-4062-be66-1b53411eefa4,2025-08-05 08:38:27,in-app,treatment,0
1ad7fb90-1cb1-4c3d-9034-87800a5bed31,705e5e5b-d8a9-4e2f-ab34-32969c0ce9af,2025-09-17 01:51:01,in-app,control,1
3a0bdf2b-6b27-4df2-8f84-6bbc6aecab37,ea858d89-75d6-41ac-818a-ff90241bbfb4,2025-09-26 08:47:17,email,control,0
57d68fb4-863a-428c-b30e-b562ba17941b,a8c1ec24-022f-4fb0-a804-4356c30d8416,2025-08-12 09:03:36,in-app,treatment,1
799a9656-36f5-4a3d-8813-1d5f7b446e2f,a9787134-15e8-439c-9fec-fd178ffb43a8,2025-06-07 11:28:26,in-app,control,0
7c547385-e91e-45e7-9ebe-e8af2404ff6f,1ec05801-8ee8-4d67-8e90-c35179766276,2025-08-30 05:30:05,in-app,control,1
d4846e24-180e-44f0-b2ba-4c86a72da288,eb3ca5b6-c900-4868-a3f7-5b663e9e047f,2025-06-29 05:29:51,in-app,treatment,1
e30bdd2b-40e9-40f1-9fa1-a17848d8ac71,2bff6bad-e111-44bc-b4b1-58174e40f331,2025-07-29 12:08:40,in-app,control,0
a312a91f-ed5e-4a1c-9b9f-2a689bb1161f,bbb5334e-8fc4-480c-977e-c6b85cb3d13b,2025-08-15 09:34:26,in-app,treatment,1
8f6b0acd-46f8-4921-b621-0c35273a4e2f,c34d64bf-c21d-4210-badc-322a385bb42e,2025-08-20 17:25:55,in-app,treatment,1
b12ce51c-b413-4907-9b38-2ce14ab910a8,1cc015f4-1b9c-4641-a0a7-8d4cc9286732,2025-07-12 14:23:10,email,treatment,0
224e52eb-8e5e-4930-8439-9a1b9d2e21f6,3fdea99a-3607-41d2-b8ce-7a179ec95be5,2025-07-19 09:22:08,in-app,control,0
03bd6e85-743a-4a2b-806b-c063f4803bcb,422abe42-5b27-4adc-a8e9-a034a5e8ddc2,2025-09-10 13:33:47,in-app,treatment,1
b594e106-9adc-425f-a2f3-d71ea9482f41,a8e88074-7070-4dd2-858b-cac4d04151d5,2025-09-21 13:21:59,web,control,1
e7a9b287-5535-4a3e-8ba0-170e34201628,c5e77fbd-ca50-4498-89ae-84322800dc28,2025-07-10 10:02:01,web,control,0
084aaa87-5287-41e7-9769-82ac8dca1663,4a6a7d86-8e39-4645-bcd9-b5b4f09ca72b,2025-08-23 12:04:21,in-app,control,0
7e8318d1-7c51-4360-81c8-763af329e401,08ede147-3edb-4d22-ac67-ad32d2872efa,2025-07-19 11:37:16,web,treatment,1
a3b6a224-edc6-4a22-a6cf-742fe2492bb9,4c711857-76ed-4d50-9a0d-0b9bcac6a418,2025-07-16 02:52:49,in-app,treatment,0
53c4c6d8-bb24-4d90-b4e8-66c09975f9f8,f876fe83-8a0a-4398-b843-19b06ada7cab,2025-07-16 13:20:32,in-app,treatment,0
d300019c-49ac-41e3-884d-4ba710ce55fb,4dbbbaa7-0853-43b1-b967-1fb627491eda,2025-07-31 14:25:31,in-app,control,1
ad86dddf-665e-43f1-bac7-ade05d5f1892,ecdcb7c0-ddf6-4637-b558-6d7c6be9880e,2025-07-22 21:31:20,in-app,treatment,0
3afc6116-ebad-4565-9787-3a0cfe82c787,894843b4-802e-4511-9faa-96cc9c620b67,2025-07-12 00:51:50,in-app,treatment,0
4cb19ec7-f048-4a65-9352-4b6f2d804e4d,750b8473-c44e-4550-a93f-64b7cfc84e27,2025-09-17 17:14:11,in-app,control,0
153240da-122a-486b-b95e-ea5da26f1c12,85af0684-aa41-4cf0-8719-a3f3aea3aa81,2025-08-07 12:54:46,in-app,control,1
d7082cb4-5394-4b45-9fe0-21d0e526f742,2424d525-2fc5-43b1-84e0-ae3735f67269,2025-07-30 04:21:23,email,treatment,0
6daf06e1-80cd-4d27-b67e-4a4d4d3e9f66,eabf5ffb-1479-477f-8bbe-c48e90b04bab,2025-07-09 02:49:40,email,treatment,0
be0f4a03-f6d1-49ea-b756-834df1d021f9,abbe3560-8095-472a-bccd-c0ddeb136f6b,2025-09-18 01:04:24,email,control,0
023bebaa-819a-4df5-a96c-2e9cb68ba099,5bd39118-da40-4e51-aece-330eebc7dd9d,2025-09-30 08:41:53,email,treatment,0
5f1e9e74-b0fe-4ba9-acb0-368532ba6919,d85c40dc-0352-4285-8327-33fc3eb3bd4d,2025-07-19 00:50:13,web,treatment,0
4f6aba95-4e51-425c-8ba1-976f52fd6933,0619b27a-30af-4153-b445-ded6d332427a,2025-09-16 13:06:41,in-app,treatment,0
568550cf-3289-4610-9906-447c3ced4169,e1afeae5-91a8-475f-b631-73c6445e4524,2025-07-22 08:21:38,in-app,treatment,0
1902b1aa-7aaf-40fb-903d-e13555d313a4,ba6ec686-0d0b-493b-881c-8e8cf1a5cd23,2025-07-30 07:36:36,in-app,control,0
2466dcbc-a6db-4c6c-8604-6eafdaa08a1e,fc3d1f11-d430-4f27-ae99-6b87a7f168e7,2025-09-17 02:41:41,email,treatment,0
e2a92c4c-9778-41dd-b2da-76d81adc4ff7,478c16fd-5fd2-4ca5-ad94-575640901065,2025-06-30 06:28:12,in-app,treatment,1
cb6fa92f-79e2-401e-9baa-84e7f0ca0d46,0825be64-7590-4824-93ff-3d97a0306d27,2025-07-11 21:51:47,in-app,treatment,0
2de0ac73-08fd-4376-a001-43574df26f7c,cad3e60c-61ef-4c09-9785-035b6f2a323e,2025-08-10 05:11:41,in-app,control,0
63d21fae-849c-4a42-97ce-6d2adb11dbe3,0a023437-3292-4302-8d0b-6eca56eae8bc,2025-08-24 13:48:15,in-app,control,0
04c7894b-e2c9-4991-a0e3-339f28f02f37,e2ea406c-944f-41cc-8ce8-36ee8dbf0fd6,2025-08-10 07:16:01,in-app,control,0
08908816-9d26-4eb0-a509-ac86830eeeb6,52f93e80-4eb3-4f7a-a81f-24832ff4ccec,2025-08-21 02:39:57,in-app,control,1
